feature.eng,feature.chn
productID,商品編號
cat2.max.4wk.sale,最大銷類第二層類別
sales.1d,首日銷量
sales.1wk,首週銷量
sales.4wk,首月銷量
sales.12wk,首季銷量
hl.50,新書銷售生命週期
hl.75,新書銷售生命週期
attraction.1d,首日關注度
attraction.1wk,首週關注度
attraction.4wk,首月關注度
attraction.12wk,首季關注度
turnover.1d,首日成交率
turnover.1wk,首週成交率
turnover.4wk,首月成交率
turnover.12wk,首季成交率
diversity,跨分類吸引力
price.set,定價
price.first,售價
ratio.discount,售定價折扣比
n.page,頁數
price.per.page,每頁價格
price.per.page.nc.np,非彩印非平裝每頁價格
price.per.page.nc.p,非彩印平裝每頁價格
price.per.page.c.np,彩印非平裝每頁價格
price.per.page.c.p,彩印平裝每頁價格
is.first.edition,是否為初版
is.translated,是否為翻譯書
ratio.punct.in.title,書名標點符號比例
is.pub.in.spring,是否在春季出版
is.pub.in.summer,是否在夏季出版
is.pub.in.autumn,是否在秋季出版
is.pub.in.winter,是否在冬季出版
is.pub.in.summer.vacation,是否在暑假出版
is.pub.in.weekends,是否在週末出版
is.paperback,是否為平裝書
is.color.printed,是否為彩色印刷
n.cat1,所屬第一層類別個數
n.cat2,所屬第二層類別個數
n.cat3,所屬第三層類別個數
pub.entropy.cat1,所屬出版社之出版多樣性
pub.n.books,所屬出版社之出版量
pub.ratio.01,所屬出版社之文學小說出版比例
pub.ratio.02,所屬出版社之商業理財出版比例
pub.ratio.03,所屬出版社之藝術設計出版比例
pub.ratio.04,所屬出版社之人文史地出版比例
pub.ratio.05,所屬出版社之社會科學出版比例
pub.ratio.06,所屬出版社之自然科普出版比例
pub.ratio.07,所屬出版社之心理勵志出版比例
pub.ratio.08,所屬出版社之醫療保健出版比例
pub.ratio.09,所屬出版社之飲食出版比例
pub.ratio.10,所屬出版社之生活風格出版比例
pub.ratio.11,所屬出版社之旅遊出版比例
pub.ratio.12,所屬出版社之宗教命理出版比例
pub.ratio.13,所屬出版社之親子教養出版比例
pub.ratio.14,所屬出版社之童書青少年文學出版比例
pub.ratio.15,所屬出版社之輕小說出版比例
pub.ratio.16,所屬出版社之漫畫出版比例
pub.ratio.17,所屬出版社之語言學習出版比例
pub.ratio.18,所屬出版社之考試用書出版比例
pub.ratio.19,所屬出版社之電腦資訊出版比例
pub.ratio.20,所屬出版社之政府出版品出版比例
